Parameter,Symbol,Value,Units
MATLAB Function Name,function_name,MuleSim2,-
Date and Time Simulated,time_stamp,13-Feb-2019 10:05:57,-
CEA File Name,CEA_f,Boundless,-
Input File Name,input_f,MuleSim2INPUT,-
Elapsed Simulation Time,time_sim,10.6996811382313,s
Operating System and Version,computer_name,PCWIN64,-
Oxidizer 1 Mass Fraction,N2O_L__298_15K,1,-
Fuel 1 Mass Fraction,C32H66_a_,0.93,-
Fuel 2 Mass Fraction,AL,0.05,-
Fuel 3 Mass Fraction,C8H16_1_minusoctene,0.02,-
Tank Volume,V_tank,0.02981,m^3
Initial Mass of Oxidizer in Tank,m_ox_tank_init,16,kg
Initial Oxidizer Tank Pressure,p_tank_init,4964000,Pa
Injector orifice diameter,d_inj,0.003048,m
Number of Injector Orifices,n_inj,12,-
Injector discharge coefficient,Cd_inj,0.66,-
Fuel Grain Length,L,0.4191,m
Fuel Grain Initial Diameter,d_port_init,0.055,m
Density of Fuel,rho_f,930,kg/m^3
Regression Rate Constant,a,0.000155,m/s
Regression Rate Exponent,n,0.5,-
Nozzle Throat Diameter,d_th,0.0407162,m
Nozzle Area Ratio,A_ratio_nozzle,5,-
Atmospheric Pressure,p_atm,101325,Pa
Atmospheric Temperature,T_atm,292,K
Initial Combustion Chamber Pressure,p_init,101324,Pa
Initial Combustion Chamber Temperature,T_init,292,K
Initial Combustion Chamber Velocity,vel_init,0,m/s
Time Step,del_time,0.0008,s
Max Burn Time,time_max,5,s
Tank Temperature Change per Estimation,del_T_tank,0.01,K
Tank Density Change per Estimation,del_rho_ox_2,1,kg/m^3
Tank Volume Error,V_tank_eps,2.981e-05,m^3
Combustion Chamber Pressure Error,p_cc_eps,1000,Pa
Tank Internal Energy Error,u_tank_eps,1000,J/kg
Nozzle Area Ratio Error,A_ratio_nozzle_eps,0.001,-
Burn Time,time(end),4.9984,s
Peak Thrust,max(F_thrust),7022.12854451154,N
Average Thrust,mean(F_thrust),5655.89900311416,N
Total Impulse,I_tot,28273.2108694077,N*s
Specific Impulse,I_sp,233.315163224874,s
Average O/F Ratio,mean(OF),6.85608557997547,-
Average Oxidizer Mass Flow,mean(m_dot_ox_in),2.15787465436358,kg/s
Average Fuel Mass Flow,mean(m_dot_f),0.314449355621959,kg/s
Total Oxidizer Mass Consumed,m_ox,10.7809980058764,kg
Total Fuel Mass Consumed,m_f,1.5717380051911,kg
Average Regression Rate,mean(r_dot),0.0035340839443728,m/s
Final Port Diameter,d_port_f,0.0903308765569413,m
Maximum Combustion Chamber Pressure,max(T_cc),3329.85299192429,K
Maximum Combustion Chamber Temperature,max(p_cc),3433931.51406609,Pa
